sample_id,user_id,item_id,valence_score,arousal_score,preference_label,rating,item_popularity_score,item_category,delta,theta,alpha,beta,gamma
17,1,18,4.6758,4.1024,0,3,0.5601,music,1009.9606323242188,510.748291015625,378.8339538574219,66.20953369140625,3.3520381450653076
18,1,19,6.2125,8.1892,1,5,0.3512,music,575.5036010742188,296.8410949707031,595.6150512695312,128.2598876953125,5.178560256958008
19,1,20,5.4373,5.5266,0,2,0.8102,game,879.563232421875,417.8846435546875,488.26190185546875,78.75347900390625,3.7874042987823486
20,1,21,4.7139,5.1409,1,3,0.3916,movie,767.5645141601562,429.09954833984375,507.43780517578125,88.27137756347656,5.15130090713501
21,1,22,5.9406,5.7977,0,2,0.508,movie,888.2893676757812,408.01495361328125,466.052978515625,84.85543823242188,4.532872676849365
22,1,23,6.2728,3.4453,1,4,0.5668,music,672.7671508789062,314.80438232421875,596.0687866210938,106.6341781616211,4.6985931396484375
23,1,24,4.1663,3.4742,0,3,0.3499,movie,999.5974731445312,408.4968566894531,442.3041076660156,72.18553924560547,4.688644886016846
24,1,25,3.5035,5.8783,0,2,0.6157,game,1000.5502319335938,441.019287109375,436.7894592285156,65.70683288574219,4.41606330871582
25,1,26,4.7734,4.8777,0,4,0.3697,article,903.4508666992188,497.1954650878906,398.5565185546875,81.52972412109375,3.7520334720611572
26,1,27,6.517,4.5228,1,3,0.3985,movie,851.0558471679688,365.2077941894531,520.7892456054688,84.7795181274414,5.152575492858887
27,1,28,3.9891,3.8815,1,3,0.7962,movie,795.328369140625,373.9104919433594,534.0072021484375,89.63494873046875,4.290449142456055
28,1,29,2.8756,5.5723,0,2,0.261,movie,1100.19580078125,528.9959716796875,340.3716125488281,57.27196502685547,3.774343729019165
29,1,30,6.52,5.0038,1,5,0.0822,game,546.76171875,261.6954650878906,634.0991821289062,129.58128356933594,5.134348392486572
30,1,31,5.667,5.3135,1,4,0.8335,music,528.6762084960938,392.2406921386719,631.6416015625,102.21808624267578,6.076951503753662
31,1,32,7.0507,6.2795,1,4,0.9275,game,650.3329467773438,288.6413269042969,588.41064453125,119.37703704833984,4.829437255859375
32,1,33,5.1509,5.0469,0,4,0.4,movie,824.197509765625,425.2177734375,486.8265075683594,86.06282043457031,4.704571723937988
33,1,34,5.9818,4.2239,1,3,0.126,music,881.25,402.7035217285156,430.90252685546875,97.47030639648438,4.893668174743652
34,1,35,6.2387,4.3836,1,3,0.423,game,984.7794799804688,434.1767578125,414.98699951171875,77.22904968261719,4.457292556762695
35,1,36,4.8757,4.8084,1,3,0.4289,game,805.8772583007812,425.9061279296875,496.1815490722656,86.20674133300781,4.7182230949401855
36,1,37,6.7092,3.9121,1,4,0.4527,game,721.4534301757812,311.0350341796875,597.7828369140625,98.61033630371094,4.739298343658447
37,1,38,5.3681,2.7171,0,3,0.2472,short_video,853.7288208007812,588.3114013671875,347.8273010253906,84.16045379638672,3.956369161605835
38,1,39,5.2997,4.2868,0,2,0.641,game,990.3921508789062,452.792236328125,365.5050048828125,86.39328002929688,3.8421034812927246
39,1,40,3.2849,3.2657,0,2,0.6282,article,1100.287109375,520.9782104492188,335.9833679199219,59.642173767089844,4.1026530265808105
40,1,41,4.5342,5.0437,1,4,0.1833,game,760.0744018554688,347.6260681152344,595.6722412109375,83.6813735961914,4.8122076988220215
41,1,42,5.7609,7.022,0,3,0.668,music,916.8995971679688,395.7210388183594,456.6918029785156,85.88591003417969,4.381438255310059
42,1,43,5.8525,6.5911,1,3,0.8862,music,766.5107421875,354.5941467285156,516.597900390625,103.07179260253906,5.402500629425049
43,1,44,5.8567,6.3503,1,3,0.5429,music,780.9414672851562,452.60894775390625,489.9566345214844,85.68711853027344,5.062190532684326
44,1,45,5.4543,5.0364,0,3,0.4165,game,1111.2366943359375,431.9720153808594,392.33001708984375,62.368263244628906,3.9982337951660156
45,1,46,5.7014,5.8345,1,4,0.4646,music,857.79150390625,342.0457763671875,476.2061462402344,103.20852661132812,4.556707859039307
46,1,47,4.9849,4.2786,0,3,0.6491,article,854.2184448242188,462.799072265625,485.1807556152344,73.95488739013672,3.519252061843872
47,1,48,5.0744,4.5669,0,2,0.1505,game,851.31884765625,447.363037109375,447.02587890625,87.870849609375,4.657855033874512
48,1,49,5.9484,2.9136,1,4,0.541,article,983.3059692382812,390.5049133300781,441.82586669921875,79.06492614746094,4.510414123535156
49,1,50,3.9494,3.2872,0,2,0.4036,short_video,940.3850708007812,565.2461547851562,366.0047912597656,69.16250610351562,3.6317026615142822
50,1,51,4.5104,4.6378,0,3,0.8639,music,748.1826171875,443.1001892089844,533.3687744140625,83.13214111328125,3.7834274768829346
51,1,52,5.7586,3.4962,0,4,0.4566,music,789.26416015625,414.8345642089844,482.7671813964844,96.71957397460938,3.811208486557007
52,1,53,6.3567,4.0347,1,4,0.8413,short_video,709.8125610351562,397.2708740234375,512.5718994140625,105.56401824951172,4.571197986602783
53,1,54,4.5254,4.8921,1,3,0.249,music,827.547607421875,478.25933837890625,444.44207763671875,84.18011474609375,5.462310791015625
54,1,55,4.2212,4.0967,1,3,0.6427,music,759.2111206054688,520.2003173828125,502.3336486816406,71.34776306152344,4.088436126708984
55,1,56,5.8804,3.197,1,4,0.5792,article,635.2786865234375,388.784912109375,573.6024169921875,102.33445739746094,4.641468524932861
56,1,57,4.3231,5.6681,0,2,0.2955,game,999.9557495117188,539.9517822265625,376.7106628417969,60.793270111083984,4.206751346588135
57,1,58,5.8155,5.7282,1,4,0.5442,movie,627.7327270507812,428.0028076171875,525.5894775390625,108.68247985839844,4.604201793670654
58,1,59,5.7875,4.1096,0,3,0.7707,game,872.2249145507812,428.4840087890625,464.8897399902344,83.72542572021484,3.9666008949279785
59,1,60,5.722,4.9125,1,3,0.4198,game,750.7962036132812,343.19915771484375,544.9200439453125,100.14936065673828,5.09898567199707
60,1,61,4.791,5.9055,0,3,0.1555,article,954.27392578125,384.391845703125,456.980712890625,82.37460327148438,3.7307140827178955
61,1,62,5.8935,3.243,1,3,0.4956,short_video,698.4329223632812,424.93463134765625,580.0916748046875,80.4637451171875,4.835883140563965
62,1,63,4.7327,4.9842,1,3,0.2886,movie,871.0968627929688,401.3675842285156,493.8282165527344,82.25748443603516,3.6974050998687744
63,1,64,4.6646,5.1414,0,3,0.4152,movie,875.759033203125,567.6163940429688,352.85089111328125,83.85552978515625,3.724285840988159
64,1,65,5.5303,4.6143,1,4,0.4796,short_video,837.9198608398438,404.08282470703125,472.34393310546875,93.12127685546875,4.463133811950684
65,1,66,5.4313,3.8762,0,3,0.1537,movie,1040.9976806640625,456.46710205078125,351.2412109375,80.80887603759766,4.000837326049805
66,1,67,4.1798,5.4444,0,3,0.1658,music,1113.611328125,506.9462890625,334.185546875,61.96797561645508,3.5761754512786865
67,1,68,5.2898,4.6567,1,4,0.6182,movie,889.4970703125,331.3031005859375,507.8500061035156,90.67779541015625,4.611103534698486
68,1,69,6.1329,4.8704,1,4,0.3722,movie,765.54296875,424.5632019042969,487.33966064453125,96.77623748779297,4.74328088760376
69,1,70,5.818,6.0795,0,2,0.0714,article,1000.5656127929688,354.2992858886719,448.31591796875,83.46147918701172,4.169126033782959
70,1,71,6.7731,5.6973,1,4,0.6867,movie,653.1268920898438,251.36727905273438,690.1329345703125,98.58599853515625,4.198391437530518
71,1,72,5.6373,6.1152,1,3,0.5677,movie,767.1336059570312,427.6289367675781,514.3855590820312,87.54843139648438,4.666971683502197
72,1,73,5.7219,4.7937,1,4,0.3287,article,667.3681030273438,406.57196044921875,564.2581787109375,95.58116149902344,4.296383380889893
73,1,74,5.2651,4.808,1,4,0.2113,movie,773.61572265625,392.2462463378906,525.3947143554688,91.23834991455078,5.0182719230651855
74,1,75,4.588,5.0365,1,4,0.6976,article,709.9931030273438,423.33416748046875,516.8792114257812,96.3568115234375,5.979876518249512
75,1,76,3.8891,4.5365,0,2,0.5865,movie,1022.943603515625,645.0457763671875,300.23480224609375,54.64972686767578,4.180929660797119
76,1,77,5.7933,6.3487,1,3,0.9155,movie,791.8494262695312,336.77996826171875,540.1217651367188,97.32308197021484,3.8215043544769287
77,1,78,4.6435,6.7157,0,3,0.6035,movie,942.9070434570312,488.1265869140625,411.82415771484375,72.72869110107422,4.307247638702393
78,1,79,4.9775,5.6373,1,4,0.5957,short_video,788.82666015625,496.29302978515625,437.9410095214844,89.71047973632812,5.125328063964844
79,1,80,7.182,4.1909,1,4,0.4584,short_video,610.9662475585938,329.80267333984375,652.5579223632812,97.0295181274414,5.242356777191162
80,1,81,6.4911,6.2305,1,5,0.6936,game,768.2394409179688,362.785888671875,514.0008544921875,103.02010345458984,4.286888599395752
81,1,82,4.8103,5.8403,0,2,0.6514,music,1039.5291748046875,434.7734069824219,413.84100341796875,68.21305084228516,3.6513607501983643
82,1,83,4.6725,5.3755,0,3,0.7776,movie,931.3377075195312,354.0745849609375,470.75665283203125,90.19215393066406,3.3706743717193604
83,1,84,4.4182,6.6319,0,3,0.3725,game,955.5226440429688,476.1647644042969,409.89715576171875,74.75792694091797,3.479827880859375
84,1,85,5.5457,2.9874,0,3,0.3928,music,929.3389282226562,414.0489807128906,459.1195373535156,78.59371185302734,4.676133155822754
85,1,86,4.5286,6.1697,0,3,0.3825,game,983.364990234375,506.62957763671875,389.2919006347656,68.4358901977539,3.9712295532226562
86,1,87,5.9548,4.9014,1,4,0.688,short_video,587.1151733398438,301.4540100097656,630.0786743164062,114.1624526977539,5.27453088760376
87,1,88,5.112,4.8188,1,4,0.8173,article,704.9636840820312,270.89080810546875,574.4288940429688,116.66619873046875,5.61332893371582
88,1,89,5.4741,4.9089,1,4,0.3873,game,696.1481323242188,477.8169860839844,521.6019897460938,87.40220642089844,3.8364388942718506
89,1,90,3.6877,5.3296,0,3,0.3954,movie,974.3482055664062,502.8750305175781,386.9622802734375,71.29444885253906,3.7677972316741943
90,1,91,4.874,5.0878,1,3,0.5779,music,729.5381469726562,416.0455627441406,544.7532958984375,87.85893249511719,4.432096481323242
91,1,92,5.6969,2.7783,0,3,0.4389,article,889.2302856445312,374.0802001953125,483.1395568847656,87.82647705078125,4.808918476104736
92,1,93,4.6267,4.242,0,3,0.7215,game,883.5393676757812,335.0625,536.198486328125,82.3949203491211,4.2859272956848145
93,1,94,4.699,4.611,0,3,0.0952,short_video,788.1829223632812,496.8942565917969,467.86602783203125,82.377197265625,3.5974409580230713
94,1,95,4.6513,4.3388,0,3,0.3043,game,892.958984375,431.37945556640625,434.3871154785156,87.38485717773438,4.783624172210693
95,1,96,4.7167,5.2593,0,2,0.3138,movie,847.38525390625,526.287353515625,447.6288146972656,69.36265563964844,4.783448219299316
96,1,97,4.4438,4.9007,0,2,0.0895,article,1055.402099609375,504.76361083984375,345.16650390625,68.8360824584961,4.0749831199646
97,1,98,4.7789,5.0537,0,2,0.2762,short_video,848.8792114257812,446.37200927734375,480.609375,78.70484924316406,4.347114562988281
98,1,99,6.2497,4.3076,1,3,0.2859,article,758.2980346679688,361.2235107421875,526.8577270507812,101.03971862792969,4.951364517211914
99,1,100,5.8652,5.9334,1,4,0.4499,article,671.2330932617188,303.0005187988281,565.4598388671875,118.40399169921875,4.8631205558776855
100,2,1,5.5574,4.7952,1,4,0.6261,short_video,783.4469604492188,390.65118408203125,524.696533203125,89.66278076171875,4.951587200164795
101,2,2,5.202,3.857,1,3,0.3595,music,703.244140625,394.4039001464844,562.3895263671875,93.27545928955078,3.840808391571045
102,2,3,6.4386,6.6078,1,4,0.7815,movie,791.3836059570312,395.36663818359375,447.9701232910156,110.83282470703125,4.534948348999023
103,2,4,4.8985,5.2938,0,2,0.3481,movie,957.00927734375,443.7013244628906,465.468017578125,65.18484497070312,3.576120615005493
104,2,5,5.0235,5.668,1,3,0.346,article,812.2515258789062,435.04290771484375,478.53387451171875,88.04017639160156,4.931041240692139
105,2,6,5.6823,5.0875,1,5,0.6321,movie,681.5951538085938,297.28619384765625,622.6160278320312,101.07647705078125,4.803048610687256
106,2,7,5.8639,6.1541,1,4,0.682,short_video,532.676025390625,363.0968017578125,691.5247802734375,92.3072738647461,4.535736083984375
107,2,8,4.2745,5.5551,1,4,0.6102,music,741.6826782226562,507.13934326171875,480.9698181152344,83.07061767578125,5.000993251800537
108,2,9,5.1988,3.9052,0,2,0.1564,short_video,984.3364868164062,514.705322265625,386.7786560058594,65.57711791992188,4.931714057922363
109,2,10,4.6715,4.6215,1,3,0.6314,movie,772.8681030273438,458.35577392578125,449.0718688964844,98.88826751708984,4.459958553314209
110,2,11,4.6329,5.5489,1,2,0.2622,article,839.8878784179688,416.5795593261719,499.6455993652344,82.05252075195312,3.8169946670532227
111,2,12,5.5912,3.8464,1,4,0.5585,short_video,879.0884399414062,381.59844970703125,473.05401611328125,90.06754302978516,4.849672317504883
112,2,13,4.4025,6.7097,0,2,0.1941,game,1036.802734375,470.57208251953125,375.47747802734375,71.2299575805664,4.2269768714904785
113,2,14,6.2548,4.6962,1,4,0.6098,music,785.1939086914062,417.6273498535156,489.29541015625,91.93731689453125,6.721642971038818
114,2,15,5.7385,4.8375,1,3,0.3086,article,705.49462890625,395.47296142578125,584.06689453125,85.12223815917969,5.137957572937012
115,2,16,5.3303,5.9432,0,2,0.2171,music,1010.1975708007812,410.3382568359375,413.74072265625,78.99609375,3.522216320037842
116,2,17,5.3042,4.2699,1,3,0.6712,game,836.9568481445312,389.02362060546875,506.9960021972656,87.24636840820312,4.164149284362793
117,2,18,4.1495,5.0369,0,2,0.5601,music,920.3513793945312,391.80078125,434.2119140625,92.27128601074219,4.556059837341309
118,2,19,5.3365,5.22,1,3,0.3512,music,820.5265502929688,471.6327209472656,438.122314453125,90.3948974609375,4.407390117645264
119,2,20,5.3821,7.4282,1,4,0.8102,game,874.0134887695312,369.62286376953125,482.59783935546875,91.65138244628906,4.728627681732178
120,2,21,5.1887,5.1258,1,4,0.3916,movie,819.818359375,371.41131591796875,550.1876220703125,79.75257873535156,5.737311840057373
121,2,22,5.0406,4.5929,0,3,0.508,movie,851.7887573242188,457.26409912109375,490.4176330566406,72.17999267578125,4.719619274139404
122,2,23,4.9968,6.0898,1,4,0.5668,music,893.6690063476562,345.5531005859375,479.7569274902344,94.16259002685547,4.736090660095215
123,2,24,5.5258,6.0872,1,3,0.3499,movie,804.4010620117188,435.67279052734375,536.2937622070312,73.76245880126953,3.7990634441375732
124,2,25,6.262,4.117,1,4,0.6157,game,864.0625,354.4494934082031,529.6246337890625,83.04780578613281,4.5922627449035645
125,2,26,4.9993,4.2019,1,3,0.3697,article,790.1642456054688,375.6121826171875,524.7568359375,91.9918441772461,5.122965335845947
126,2,27,6.5462,3.731,1,4,0.3985,movie,601.4183349609375,375.138427734375,642.8458251953125,91.08541870117188,5.065428733825684
127,2,28,6.7007,5.5385,1,4,0.7962,movie,614.2715454101562,371.1177978515625,559.6097412109375,114.02989959716797,4.607823848724365
128,2,29,5.8504,4.7848,1,4,0.261,movie,858.2057495117188,346.1031799316406,478.7672424316406,101.08799743652344,4.735462665557861
129,2,30,5.1087,3.7285,1,3,0.0822,game,876.76416015625,434.47967529296875,396.1705627441406,100.6447525024414,5.34047269821167
130,2,31,4.8619,3.8343,1,3,0.8335,music,822.2717895507812,321.8175354003906,549.2366943359375,92.41546630859375,4.8668212890625
131,2,32,5.677,5.474,1,4,0.9275,game,783.13720703125,439.9902038574219,457.88250732421875,98.64518737792969,4.32556676864624
132,2,33,5.7038,5.6044,1,3,0.4,movie,663.1085815429688,469.114990234375,487.6504821777344,102.27154541015625,5.740893363952637
133,2,34,5.0345,3.8951,0,2,0.126,music,931.8991088867188,480.20159912109375,380.0415344238281,84.55792999267578,5.048238277435303
134,2,35,4.8772,4.5376,1,3,0.423,game,783.2402954101562,343.60931396484375,580.8952026367188,84.47126007080078,5.3281025886535645
135,2,36,5.4132,4.9466,1,3,0.4289,game,736.3806762695312,440.7294616699219,495.6907653808594,94.590576171875,5.106383323669434
136,2,37,4.1785,5.0172,0,3,0.4527,game,922.4421997070312,428.8587341308594,427.652587890625,86.04456329345703,4.135256290435791
137,2,38,5.3624,6.3699,1,3,0.2472,short_video,912.6826171875,439.2614440917969,451.57904052734375,77.7730941772461,4.374499797821045
138,2,39,6.8155,5.029,1,4,0.641,game,823.2216796875,427.5359802246094,517.7783203125,76.24653625488281,4.853033542633057
139,2,40,5.7431,7.447,0,3,0.6282,article,740.62109375,498.15667724609375,507.9439392089844,78.0055923461914,4.102989196777344
140,2,41,4.0096,5.8566,0,3,0.1833,game,1019.27294921875,507.12261962890625,393.89306640625,59.985679626464844,4.756025314331055
141,2,42,5.8432,4.1569,1,3,0.668,music,666.0070190429688,316.6001281738281,566.9042358398438,114.66271209716797,6.302365303039551
142,2,43,4.3458,5.884,0,3,0.8862,music,864.4453125,504.94354248046875,434.22442626953125,76.68917846679688,3.793839454650879
143,2,44,6.6148,2.4595,1,3,0.5429,music,724.89111328125,403.347900390625,500.41162109375,104.20247650146484,5.373745918273926
144,2,45,4.22,6.0462,0,3,0.4165,game,977.685791015625,505.0845947265625,396.71820068359375,67.90935516357422,3.1521189212799072
145,2,46,4.0217,3.9101,0,3,0.4646,music,905.4553833007812,402.82073974609375,455.5409240722656,85.9163818359375,4.773343563079834
146,2,47,5.6703,6.1088,1,4,0.6491,article,808.0790405273438,376.60089111328125,538.9955444335938,85.4449234008789,4.253567695617676
147,2,48,5.9969,4.2358,1,3,0.1505,game,756.8156127929688,378.5506591796875,537.7574462890625,93.63248443603516,5.0526652336120605
148,2,49,5.7859,4.8225,1,3,0.541,article,786.417724609375,393.94085693359375,509.4242248535156,92.00006103515625,6.115248203277588
149,2,50,5.6612,4.8713,1,4,0.4036,short_video,795.6439819335938,295.2657470703125,528.4158935546875,108.81315612792969,5.518387317657471
150,2,51,4.5844,5.8356,0,3,0.8639,music,793.8374633789062,431.28619384765625,551.24462890625,71.99473571777344,3.481762647628784
151,2,52,5.5668,4.6175,1,3,0.4566,music,753.9729614257812,430.12567138671875,543.3953857421875,79.86760711669922,5.223124980926514
152,2,53,6.0158,4.6812,1,3,0.8413,short_video,834.8646850585938,392.50250244140625,553.6482543945312,72.06251525878906,4.594618320465088
153,2,54,4.7211,3.7752,0,4,0.249,music,996.332275390625,489.04571533203125,389.7119140625,69.16592407226562,4.544163227081299
154,2,55,5.8653,4.2697,0,3,0.6427,music,859.2522583007812,394.23748779296875,438.208984375,100.98626708984375,5.37006950378418
155,2,56,4.6243,4.2412,1,3,0.5792,article,841.4497680664062,492.438232421875,412.6509704589844,88.56986236572266,5.134779930114746
156,2,57,5.611,5.4031,1,4,0.2955,game,838.9625854492188,351.5685729980469,571.5342407226562,75.81597900390625,4.920107841491699
157,2,58,4.8649,4.0073,1,4,0.5442,movie,753.57666015625,376.34368896484375,546.9342041015625,92.46334838867188,4.716858863830566
158,2,59,6.2953,8.0742,1,4,0.7707,game,686.2554321289062,396.9092102050781,558.3192138671875,96.03580474853516,4.912199974060059
159,2,60,5.6567,3.8417,1,3,0.4198,game,723.5123901367188,457.88885498046875,513.3599853515625,88.91040802001953,4.446890354156494
160,2,61,5.8828,5.8569,1,3,0.1555,article,835.3085327148438,372.7890625,522.3946533203125,86.12982177734375,4.317460536956787
161,2,62,6.0633,5.3246,1,4,0.4956,short_video,759.4928588867188,327.0577697753906,557.3736572265625,100.32071685791016,4.480962753295898
162,2,63,5.3235,4.8133,1,4,0.2886,movie,796.6629028320312,395.3544006347656,490.09576416015625,97.72545623779297,4.053215980529785
163,2,64,5.041,7.6506,0,4,0.4152,movie,1016.2477416992188,429.81298828125,447.2183532714844,63.54049301147461,3.6713643074035645
164,2,65,5.1335,5.5851,1,3,0.4796,short_video,895.4625854492188,366.82342529296875,463.4569396972656,93.81819915771484,4.6895880699157715
165,2,66,3.904,5.3911,0,2,0.1537,movie,1156.4190673828125,457.9750061035156,324.8425598144531,69.5802001953125,2.9553864002227783
166,2,67,6.0471,4.1929,1,3,0.1658,music,826.4469604492188,459.669677734375,475.74407958984375,81.31427001953125,4.326932907104492
167,2,68,5.8537,3.0686,0,3,0.6182,movie,911.9797973632812,435.76202392578125,416.12042236328125,88.9647445678711,4.491166114807129
168,2,69,5.7308,3.565,0,4,0.3722,movie,869.46337890625,446.51861572265625,501.1162109375,69.62387084960938,4.28270149230957
169,2,70,5.5637,3.5834,1,4,0.0714,article,725.6923828125,389.55145263671875,553.6951904296875,92.53617095947266,4.184545040130615
170,2,71,4.4695,4.9775,0,2,0.6867,movie,923.596435546875,437.61212158203125,501.19952392578125,62.46996307373047,3.909327745437622
171,2,72,5.9974,4.5959,1,4,0.5677,movie,790.5084838867188,365.52655029296875,567.0518188476562,83.43478393554688,3.963824510574341
172,2,73,5.0785,5.3245,1,3,0.3287,article,895.0516967773438,431.3291931152344,434.9283142089844,87.19731903076172,4.8078765869140625
173,2,74,6.1675,6.1947,1,4,0.2113,movie,746.9258422851562,336.2934875488281,509.6040954589844,113.08248901367188,5.472179889678955
174,2,75,3.749,5.0147,0,3,0.6976,article,842.4345703125,400.49127197265625,468.5634765625,94.70697021484375,4.07608699798584
175,2,76,5.8466,3.4431,1,3,0.5865,movie,838.7278442382812,407.2432861328125,464.5938415527344,93.87145233154297,5.005039691925049
176,2,77,5.5562,3.9356,1,4,0.9155,movie,608.0244750976562,301.2848205566406,653.5704956054688,104.75347900390625,4.556326389312744
177,2,78,4.9701,3.9799,1,4,0.6035,movie,863.3908081054688,368.4689636230469,523.9949951171875,80.33629608154297,5.383875846862793
178,2,79,4.1191,5.7564,0,3,0.5957,short_video,750.3416137695312,450.18280029296875,537.6405029296875,79.22149658203125,3.596079111099243
179,2,80,5.5267,6.8283,1,3,0.4584,short_video,770.6929321289062,438.71685791015625,511.67462158203125,86.22528076171875,3.708061695098877
180,2,81,5.3995,4.14,1,3,0.6936,game,922.2353515625,417.8748474121094,437.0865783691406,83.63961791992188,5.994906425476074
181,2,82,5.9668,6.2571,1,3,0.6514,music,780.9942016601562,412.2522888183594,475.565673828125,100.79766845703125,4.13816499710083
182,2,83,5.5195,4.7942,1,3,0.7776,movie,769.660400390625,480.1294250488281,456.73797607421875,91.88323211669922,4.341475486755371
183,2,84,4.1878,6.5217,0,2,0.3725,game,786.231201171875,475.84014892578125,514.5940551757812,73.51656341552734,3.928069829940796
184,2,85,6.4314,5.3466,1,4,0.3928,music,714.5741577148438,452.449462890625,538.0887451171875,84.5389175415039,4.4994401931762695
185,2,86,6.2916,5.2698,1,3,0.3825,game,925.4373168945312,422.3779602050781,464.57025146484375,75.95518493652344,3.9622645378112793
186,2,87,5.8027,4.9532,1,4,0.688,short_video,693.1013793945312,342.2113342285156,551.6285400390625,109.97772216796875,4.7004008293151855
187,2,88,5.7349,4.4369,1,3,0.8173,article,721.7271118164062,363.897216796875,548.5533447265625,100.15098571777344,4.840233325958252
188,2,89,5.5201,3.793,1,4,0.3873,game,605.951171875,390.2428283691406,625.3861083984375,90.94000244140625,5.829780101776123
189,2,90,5.6501,5.1112,1,4,0.3954,movie,849.9756469726562,367.5174560546875,484.21966552734375,95.56056213378906,5.203261375427246
190,2,91,5.8528,4.7743,1,4,0.5779,music,706.1355590820312,465.46142578125,443.0039978027344,110.32379150390625,4.703373432159424
191,2,92,5.3796,4.6378,1,3,0.4389,article,757.8307495117188,377.0403137207031,500.84735107421875,105.19085693359375,4.443239688873291
192,2,93,5.8257,6.3383,1,4,0.7215,game,724.718017578125,405.0398864746094,583.2448120117188,78.03192901611328,6.304380416870117
193,2,94,4.8651,5.0041,0,3,0.0952,short_video,960.8123168945312,453.45703125,399.18804931640625,81.11955261230469,4.596223831176758
194,2,95,4.7766,3.4579,0,3,0.3043,game,899.08447265625,401.22442626953125,489.2162170410156,78.47425079345703,3.851557731628418
195,2,96,5.9859,4.8031,1,4,0.3138,movie,973.6985473632812,452.3855285644531,388.8985900878906,82.75812530517578,4.0837531089782715
196,2,97,5.4308,4.7136,1,4,0.0895,article,750.9994506835938,447.1407470703125,528.7350463867188,82.66059875488281,3.528132200241089
197,2,98,4.7757,3.4025,0,2,0.2762,short_video,987.70654296875,477.65130615234375,417.1568908691406,66.6311264038086,3.551436424255371
198,2,99,4.2025,5.8168,1,3,0.2859,article,604.5621948242188,447.524169921875,596.9962768554688,87.19407653808594,5.027368545532227
199,2,100,6.4799,4.6508,1,4,0.4499,article,726.02587890625,368.699951171875,550.6893310546875,97.2479019165039,5.156245231628418
200,3,1,6.1639,6.2856,1,4,0.6261,short_video,883.6369018554688,378.4567565917969,443.70220947265625,99.16132354736328,4.750914573669434
201,3,2,4.5534,5.003,0,3,0.3595,music,788.6098022460938,398.024169921875,507.5752868652344,92.90119171142578,4.463852882385254
202,3,3,4.9977,7.5047,1,4,0.7815,movie,762.2371215820312,396.661376953125,594.5491943359375,71.40402221679688,5.1242899894714355
203,3,4,5.9032,4.7077,1,4,0.3481,movie,776.5029296875,297.5308837890625,574.6619262695312,98.65328216552734,5.13707160949707
204,3,5,5.4546,5.7345,1,3,0.346,article,820.8143920898438,419.12103271484375,454.63018798828125,98.15707397460938,4.457089900970459
205,3,6,6.4799,5.4582,1,4,0.6321,movie,675.851806640625,385.3583068847656,534.6204833984375,106.75785064697266,5.4218974113464355
206,3,7,5.2713,4.3918,0,3,0.682,short_video,893.3375854492188,468.8599548339844,436.0313415527344,79.6183090209961,3.978224039077759
207,3,8,6.4331,4.002,1,4,0.6102,music,697.5963745117188,309.6505126953125,541.0451049804688,119.0301284790039,4.9324564933776855
